epoch,split,loss,contrast,tda,L_sb,L_st,L_bt,r1_seq2bio,r1_bio2seq,r5_seq2bio,r5_bio2seq,r10_seq2bio,r10_bio2seq,r1_seq2bio_multi,r1_bio2seq_multi,r5_seq2bio_multi,r5_bio2seq_multi,r10_seq2bio_multi,r10_bio2seq_multi
37,val,3.8926375252859935,3.8926375252859935,0.0,3.8926380702427457,0.0,0.0,0.08928571428571429,0.08333333900996617,0.22420634542192733,0.24206348827907018,0.33333332198006765,0.36706345421927317,0.08928571428571429,0.08333333049501691,0.2242063283920288,0.24206350530896867,0.33333332198006765,0.36706348827907015
38,train,4.246549631635441,4.246549631635441,0.0,4.246549631635441,0.0,0.0,,,,,,,,,,,,
38,val,3.9080581665039062,3.9080581665039062,0.0,3.9080584389822826,0.0,0.0,0.08928571428571429,0.07539682728903634,0.21230159487043107,0.23611111300332205,0.32142857142857145,0.3373015948704311,0.08928571428571429,0.07539682728903634,0.21230159487043107,0.23611113003322057,0.32142857142857145,0.33730156081063406
39,train,4.241460223946135,4.241460223946135,0.0,4.241460605118072,0.0,0.0,,,,,,,,,,,,
39,val,3.904791695731027,3.904791695731027,0.0,3.9047911507742747,0.0,0.0,0.08730159487043108,0.07341269935880389,0.22023810659136092,0.22420634542192733,0.3333333560398647,0.3670635223388672,0.08730159487043108,0.07341269935880389,0.22023810659136092,0.22420634542192733,0.33333332198006765,0.36706348827907015
40,train,4.238488607533177,4.238488607533177,0.0,4.238488607533177,0.0,0.0,,,,,,,,,,,,
40,val,3.907010759626116,3.907010759626116,0.0,3.907010759626116,0.0,0.0,0.08134920256478446,0.08531746694019862,0.22817460128239223,0.22222222600664412,0.3353174754551479,0.3472221919468471,0.08134921107973371,0.08531745842524938,0.22817460128239223,0.2222222089767456,0.3353174754551479,0.3472221919468471
41,train,4.233943894540398,4.233943894540398,0.0,4.233944275712334,0.0,0.0,,,,,,,,,,,,
41,val,3.903660910470145,3.903660910470145,0.0,3.903660910470145,0.0,0.0,0.08928571428571429,0.07142857142857142,0.216269850730896,0.21428571428571427,0.31944445201328825,0.3492063454219273,0.08928571428571429,0.07142857142857142,0.216269850730896,0.21428571428571427,0.31944445201328825,0.34920637948172434
42,train,4.229835242242388,4.229835242242388,0.0,4.229835242242388,0.0,0.0,,,,,,,,,,,,
42,val,3.9067276545933316,3.9067276545933316,0.0,3.9067279270717075,0.0,0.0,0.0932539701461792,0.07341269935880389,0.21626983370099748,0.216269850730896,0.32142857142857145,0.3373015948704311,0.09325396163122994,0.07341269935880389,0.216269850730896,0.21626983370099748,0.32142857142857145,0.3373015948704311
43,train,4.222594118974434,4.222594118974434,0.0,4.222594118974434,0.0,0.0,,,,,,,,,,,,
43,val,3.922423771449498,3.922423771449498,0.0,3.922423771449498,0.0,0.0,0.08730159487043108,0.06746031982558114,0.21825395311628068,0.22420634542192733,0.3353174754551479,0.3412698337009975,0.08730158635548182,0.06746031556810651,0.21825395311628068,0.22420634542192733,0.33531744139535086,0.3412698337009975
44,train,4.219536357703943,4.219536357703943,0.0,4.219536357703943,0.0,0.0,,,,,,,,,,,,
44,val,3.918351037161691,3.918351037161691,0.0,3.918351309640067,0.0,0.0,0.09920634542192731,0.07539682728903634,0.23015873772757395,0.22619048186710902,0.33333332198006765,0.3392857142857143,0.09920635393687657,0.07539682728903634,0.23015873772757395,0.22619046483721053,0.3333333560398647,0.3392857142857143
45,train,4.215141826453943,4.215141826453943,0.0,4.215141826453943,0.0,0.0,,,,,,,,,,,,
45,val,3.9100777762276784,3.9100777762276784,0.0,3.9100777762276784,0.0,0.0,0.08928572280066353,0.07539682728903634,0.23214285714285715,0.21626983370099748,0.3373015948704311,0.35515873772757395,0.08928571428571429,0.07539682728903634,0.23214285714285715,0.216269850730896,0.3373015948704311,0.35515873772757395
46,train,4.210173250268345,4.210173250268345,0.0,4.210172869096409,0.0,0.0,,,,,,,,,,,,
46,val,3.9103736877441406,3.9103736877441406,0.0,3.9103736877441406,0.0,0.0,0.09523809807641166,0.06746031556810651,0.23412697655814035,0.216269850730896,0.32539681025913786,0.3710317611694336,0.09523809807641166,0.06746031982558114,0.23412697655814035,0.21626983370099748,0.32539681025913786,0.3710317611694336
47,train,4.206841426375878,4.206841426375878,0.0,4.206841045203943,0.0,0.0,,,,,,,,,,,,
47,val,3.892047882080078,3.892047882080078,0.0,3.892047609601702,0.0,0.0,0.0952380895614624,0.07539682728903634,0.24007936886378697,0.23412699358803885,0.33531744139535086,0.3670635223388672,0.0952380895614624,0.07539682728903634,0.24007935183388845,0.23412697655814035,0.33531744139535086,0.36706348827907015
48,train,4.201966237314598,4.201966237314598,0.0,4.201966237314598,0.0,0.0,,,,,,,,,,,,
48,val,3.896106175013951,3.896106175013951,0.0,3.896106447492327,0.0,0.0,0.08531746694019862,0.0773809552192688,0.22420634542192733,0.23611111300332205,0.32341269084385466,0.36309524944850374,0.08531745842524938,0.07738094670431954,0.22420634542192733,0.23611111300332205,0.32341269084385466,0.36309521538870676
49,train,4.197849961577869,4.197849961577869,0.0,4.197849961577869,0.0,0.0,,,,,,,,,,,,
49,val,3.903738021850586,3.903738021850586,0.0,3.903738021850586,0.0,0.0,0.09126984221594674,0.08134920256478446,0.23611111300332205,0.2519841194152832,0.3432539531162807,0.3492063454219273,0.09126984221594674,0.08134921107973371,0.23611111300332205,0.2519841364451817,0.3432539531162807,0.3492063454219273
50,train,4.192043569476971,4.192043569476971,0.0,4.192043950648907,0.0,0.0,,,,,,,,,,,,
50,val,3.9151011875697543,3.9151011875697543,0.0,3.9151011875697543,0.0,0.0,0.09523809807641166,0.07539682728903634,0.22817460128239223,0.23412697655814035,0.3432539531162807,0.3511904648372105,0.09523809807641166,0.07539682728903634,0.22817461831229074,0.23412697655814035,0.3432539531162807,0.3511904648372105
51,train,4.188290931767174,4.188290931767174,0.0,4.18829131293911,0.0,0.0,,,,,,,,,,,,
51,val,3.9134505135672435,3.9134505135672435,0.0,3.9134507860456194,0.0,0.0,0.09920635393687657,0.07341269935880389,0.2182539701461792,0.23015873772757395,0.3432539871760777,0.35714285714285715,0.09920635393687657,0.07341270787375313,0.2182539701461792,0.23015873772757395,0.3432539871760777,0.35714285714285715
52,train,4.183265179791179,4.183265179791179,0.0,4.183265179791179,0.0,0.0,,,,,,,,,,,,
52,val,3.9053151266915456,3.9053151266915456,0.0,3.905315399169922,0.0,0.0,0.09920635393687657,0.06746031556810651,0.2202380895614624,0.23809524944850377,0.33134920256478445,0.3710317611694336,0.09920634542192731,0.06746031982558114,0.2202380895614624,0.23809521538870676,0.33134920256478445,0.37103172710963656
53,train,4.177600202478533,4.177600202478533,0.0,4.177600202478533,0.0,0.0,,,,,,,,,,,,
53,val,3.907741001674107,3.907741001674107,0.0,3.907740729195731,0.0,0.0,0.10515872921262469,0.06746031556810651,0.23214285714285715,0.23809524944850377,0.3452380725315639,0.3452381065913609,0.10515872921262469,0.06746032408305577,0.23214285714285715,0.23809523241860525,0.3452380725315639,0.3452381065913609
54,train,4.175039489412568,4.175039489412568,0.0,4.175039489412568,0.0,0.0,,,,,,,,,,,,
54,val,3.927502768380301,3.927502768380301,0.0,3.927502768380301,0.0,0.0,0.09126984221594674,0.06746031982558114,0.22619048186710902,0.23611111300332205,0.3373015948704311,0.3392857142857143,0.09126984221594674,0.06746031982558114,0.22619048186710902,0.23611111300332205,0.3373015948704311,0.3392857142857143
55,train,4.169575008538251,4.169575008538251,0.0,4.169575008538251,0.0,0.0,,,,,,,,,,,,
55,val,3.9339776720319475,3.9339776720319475,0.0,3.933977944510324,0.0,0.0,0.0932539701461792,0.05952380810465131,0.23214285714285715,0.2460317611694336,0.3373015948704311,0.35317461831229074,0.0932539701461792,0.05952381236212594,0.23214285714285715,0.24603174413953507,0.3373015948704311,0.3531745842524937
56,train,4.167398516783763,4.167398516783763,0.0,4.167398516783763,0.0,0.0,,,,,,,,,,,,
56,val,3.9290945870535716,3.9290945870535716,0.0,3.9290945870535716,0.0,0.0,0.0932539701461792,0.07539682728903634,0.23412697655814035,0.24801586355481828,0.33531744139535086,0.35317461831229074,0.0932539701461792,0.07539682728903634,0.23412697655814035,0.2480158805847168,0.33531744139535086,0.35317461831229074
57,train,4.16149568818306,4.16149568818306,0.0,4.1614953070111245,0.0,0.0,,,,,,,,,,,,
57,val,3.9318384443010603,3.9318384443010603,0.0,3.9318389892578125,0.0,0.0,0.09126984221594674,0.06349206396511622,0.23412697655814035,0.22817458425249373,0.33531744139535086,0.3472222260066441,0.09126983370099749,0.06349206396511622,0.23412699358803885,0.22817458425249373,0.33531744139535086,0.3472221919468471
58,train,4.156817565012686,4.156817565012686,0.0,4.156817565012686,0.0,0.0,,,,,,,,,,,,
58,val,3.9451353890555247,3.9451353890555247,0.0,3.9451353890555247,0.0,0.0,0.08928571428571429,0.0773809552192688,0.23214285714285715,0.23412699358803885,0.3432539531162807,0.36507933480398996,0.08928571428571429,0.07738094670431954,0.23214284011295863,0.23412699358803885,0.3432539531162807,0.36507936886378695
59,train,4.153284482338017,4.153284482338017,0.0,4.1532848635099535,0.0,0.0,,,,,,,,,,,,
59,val,3.942650386265346,3.942650386265346,0.0,3.9426506587437222,0.0,0.0,0.08730159487043108,0.05952381236212594,0.22619049889700754,0.22817461831229074,0.3432539871760777,0.35515873772757395,0.08730158635548182,0.05952381236212594,0.22619046483721053,0.22817458425249373,0.3432539871760777,0.35515873772757395
60,train,4.148535080015613,4.148535080015613,0.0,4.148535080015613,0.0,0.0,,,,,,,,,,,,
60,val,3.93180056980678,3.93180056980678,0.0,3.9318008422851562,0.0,0.0,0.0932539701461792,0.05753968017441886,0.23412699358803885,0.22817460128239223,0.3452381065913609,0.3710317611694336,0.0932539701461792,0.05753968443189349,0.23412697655814035,0.22817460128239223,0.3452381065913609,0.37103172710963656
61,train,4.145793310280054,4.145793310280054,0.0,4.145792929108119,0.0,0.0,,,,,,,,,,,,
